"timestamp","instance","resource","value"
"2020-06-21 01:46:21","3","3307","3.3"
"2020-06-21 01:46:21","3","3305","3.3"
"2020-06-21 01:46:21","3","3306","0.02"
"2020-06-21 01:46:21","3","3308","926.6"
"2020-06-21 01:46:21","3","3316","3.97"
"2020-06-21 01:47:28","3","3303","21.3"
"2020-06-21 01:47:28","3","3304","76.4"
"2020-06-21 01:47:29","3","3307","3.3"
"2020-06-21 01:47:29","3","3305","3.3"
"2020-06-21 01:47:29","3","3306","0.02"
"2020-06-21 01:47:29","3","3308","926.6"
"2020-06-21 01:47:29","3","3316","3.97"
"2020-06-21 01:51:08","5","3303","-127.0"
"2020-06-21 01:51:08","5","3304","-127.0"
"2020-06-21 01:51:09","5","3307","3.3"
"2020-06-21 01:51:09","5","3305","3.3"
"2020-06-21 01:51:09","5","3306","1.69"
"2020-06-21 01:51:09","5","3308","0.0"
"2020-06-21 01:51:09","5","3316","4.01"
"2020-06-21 01:52:46","3","3303","21.3"
"2020-06-21 01:52:46","3","3304","76.4"
"2020-06-21 01:52:46","3","3307","3.3"
"2020-06-21 01:52:46","3","3305","3.3"
"2020-06-21 01:52:47","3","3306","0.02"
"2020-06-21 01:52:47","3","3308","926.6"
"2020-06-21 01:52:47","3","3316","3.97"
"2020-06-21 01:55:59","3","3303","21.3"
"2020-06-21 01:55:59","3","3304","76.5"
"2020-06-21 01:55:59","3","3307","3.3"
"2020-06-21 01:55:59","3","3305","3.3"
"2020-06-21 01:55:59","3","3306","0.02"
"2020-06-21 01:55:59","3","3308","926.5"
"2020-06-21 01:56:00","3","3316","3.97"
"2020-06-21 01:56:41","5","3303","-127.0"
"2020-06-21 01:56:42","5","3304","-127.0"
"2020-06-21 01:56:42","5","3307","3.3"
"2020-06-21 01:56:42","5","3305","3.3"
"2020-06-21 01:56:42","5","3306","1.69"
"2020-06-21 01:56:42","5","3308","0.0"
"2020-06-21 01:56:42","5","3316","4.01"
"2020-06-21 01:58:05","3","3303","21.3"
"2020-06-21 01:58:05","3","3304","76.5"
"2020-06-21 01:58:05","3","3307","3.3"
"2020-06-21 01:58:05","3","3305","3.3"
"2020-06-21 01:58:05","3","3306","0.02"
"2020-06-21 01:58:06","3","3308","926.5"
"2020-06-21 01:58:06","3","3316","3.97"
"2020-06-21 02:00:11","3","3303","21.3"
"2020-06-21 02:00:11","3","3304","76.7"
"2020-06-21 02:00:11","3","3307","3.3"
"2020-06-21 02:00:11","3","3305","3.3"
